IDfg,Name,Team,Season,projected_PA,xgb_wOBA,xgb_HR_per_PA,xgb_HR,xgb_1B_per_PA,xgb_1B,xgb_2B_per_PA,xgb_2B,xgb_3B_per_PA,xgb_3B,xgb_BB_per_PA,xgb_BB,xgb_IBB_per_PA,xgb_IBB,xgb_SF_per_PA,xgb_SF,xgb_SH_per_PA,xgb_SH,xgb_HBP_per_PA,xgb_HBP,xgb_SO_per_PA,xgb_SO
15640,Aaron Judge,NYY,2025,679,0.41361246,0.065940395,44.77352820336819,0.11888339,80.72182432562113,0.040966444,27.81621528416872,0.0031615335,2.146681248443201,0.16830327,114.27791772782803,0.021215344,14.405218472704291,0.0068799113,4.671459767501801,0.00018372135,0.1247467962821247,0.010595879,7.194601560011506,0.24940895,169.34867395460606
21534,Cal Raleigh,SEA,2025,705,0.32153374,0.04877894,34.38915269449353,0.106928065,75.38428612053394,0.04167226,29.378942996263504,0.0028476296,2.0075788674876094,0.09559069,67.39143524318933,0.003396111,2.3942583077587187,0.004963894,3.499545205850154,2.228823e-05,0.01571320211951388,0.008823504,6.220570136792958,0.26695815,188.205493837595
25764,Bobby Witt Jr.,KCR,2025,687,0.37951377,0.04602163,31.616859208792448,0.16664916,114.48797482252121,0.054835305,37.67185427248478,0.0067246975,4.61986720841378,0.078764394,54.1111386269331,0.006350121,4.3625331236980855,0.00947711,6.5107743283733726,0.0,0.0,0.009735726,6.688443638384342,0.17144771,117.78457622230053
19755,Shohei Ohtani,LAD,2025,727,0.39063883,0.057225753,41.603122156113386,0.13612434,98.96239712834358,0.04696476,34.14338115230203,0.00901531,6.554130096919835,0.11622172,84.49318934231997,0.02039688,14.828532345592976,0.0067615877,4.915674251038581,0.0,0.0,0.00934258,6.792055734433234,0.23744756,172.62437599897385
22799,Geraldo Perdomo,ARI,2025,720,0.30880067,0.014145274,10.184597074985504,0.14769442,106.33998513221741,0.04587835,33.0324125289917,0.0048786397,3.5126205906271935,0.105606966,76.03701531887054,0.0019987014,1.439064983278513,0.0076414156,5.5018192157149315,0.015753992,11.34287416934967,0.010356551,7.456716746091843,0.15832259,113.99226307868958
16252,Trea Turner,PHI,2025,639,0.32070482,0.029082622,18.583795700222254,0.17920138,114.50968144834042,0.04543019,29.029891960322857,0.003324347,2.124257785733789,0.052965775,33.84513030946255,0.0022290226,1.4243454162497073,0.0043137297,2.7564732804894447,9.07692e-05,0.0580015194718726,0.007562954,4.832727592438459,0.18974982,121.25013627111912
25878,Corbin Carroll,ARI,2025,642,0.34452304,0.03606653,23.154711239039898,0.12703817,81.55850252509117,0.047767404,30.6666736677289,0.009420487,6.047952717170119,0.10081856,64.72551521658897,0.0035617878,2.2866677502170205,0.012437768,7.985047236084938,0.0055672443,3.5741708111017942,0.01929561,12.38778193295002,0.2012499,129.20243418216705
13510,Jose Ramirez,CLE,2025,673,0.33613822,0.03803893,25.600201092660427,0.14178438,95.42089100182056,0.053235367,35.82740195095539,0.0049916473,3.3593786475248635,0.09015329,60.673165395855904,0.020899035,14.065050579607487,0.009873112,6.644604195840657,0.000112871065,0.07596222649590345,0.0057119685,3.8441548156552017,0.13217306,88.95247030258179
12916,Francisco Lindor,NYM,2025,732,0.34745067,0.043415327,31.780019089579582,0.14638735,107.15554279088974,0.04641632,33.976746171712875,0.0027931712,2.044601325877011,0.08417774,61.6181056201458,0.0027000683,1.9764499878510833,0.0081597725,5.972953464835882,8.9268004e-05,0.06534417867078446,0.013978038,10.231923803687096,0.19610181,143.5465282201767
19709,Fernando Tatis Jr.,SDP,2025,691,0.35205036,0.04100183,28.332264702767134,0.15731987,108.70803263783455,0.048965983,33.83549431711435,0.0026708543,1.8455603420734406,0.0837241,57.8533506244421,0.0040720096,2.8137586237862706,0.0056499005,3.9040812659077346,0.00017710512,0.12237963617371861,0.010667567,7.371288894675672,0.21240914,146.77471482753754
