Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost%
Shohei Ohtani,LAD,"SP,DH",118.9,143,9,0,3.37,1.11,44,93,39,14,23,23,5,1,100%
Tarik Skubal,DET,SP,193.0,234,14,0,2.72,0.97,58,148,40,18,31,31,7,1,99%
Paul Skenes,PIT,SP,186.1,221,13,0,2.79,1.04,58,146,48,15,31,31,7,1,99%
Garrett Crochet,BOS,SP,189.7,232,14,0,3.01,1.07,64,153,49,20,31,31,8,1,99%
Bryan Woo,SEA,SP,187.0,189,13,0,3.4,1.05,71,157,40,24,31,31,9,0,99%
Cristopher Sanchez,PHI,SP,192.0,188,13,0,3.19,1.14,68,173,47,16,31,31,8,1,99%
Logan Webb,SF,SP,197.8,188,13,0,3.27,1.17,72,186,45,15,32,31,9,1,99%
Logan Gilbert,SEA,SP,167.5,187,11,0,3.37,1.06,63,138,39,22,29,29,7,1,99%
Max Fried,NYY,SP,183.1,173,14,0,3.31,1.17,67,160,54,17,30,30,8,1,99%
Chris Sale,ATL,SP,159.5,195,11,0,3.23,1.1,57,132,43,17,27,27,6,0,99%
Jacob deGrom,TEX,SP,162.9,180,11,0,3.48,1.06,63,134,39,22,28,28,8,0,99%
Yoshinobu Yamamoto,LAD,SP,159.8,174,12,0,3.27,1.11,58,130,48,16,27,27,6,0,99%
Hunter Brown,HOU,SP,179.8,194,12,0,3.44,1.18,69,153,59,19,31,30,8,1,99%
George Kirby,SEA,SP,171.6,168,12,0,3.55,1.11,68,157,33,21,30,30,8,0,99%
Cole Ragans,KC,SP,157.0,195,11,0,3.38,1.15,59,125,56,17,28,28,7,0,98%
Framber Valdez,DET,SP,190.3,178,13,0,3.47,1.23,73,170,63,16,30,30,9,2,99%
Jesus Luzardo,PHI,SP,177.3,197,12,0,3.66,1.18,72,154,55,22,31,30,9,0,99%
Joe Ryan,MIN,SP,168.4,185,11,0,3.8,1.1,71,146,40,25,29,29,9,0,99%
Zack Wheeler,PHI,SP,141.2,161,10,0,3.27,1.08,51,115,37,16,23,23,6,0,95%
Dylan Cease,TOR,SP,170.0,200,11,0,3.67,1.21,69,142,64,20,31,30,9,0,98%
Nathan Eovaldi,TEX,SP,162.4,157,11,0,3.62,1.14,65,144,41,19,27,27,8,1,94%
Sonny Gray,BOS,SP,171.6,180,12,0,3.74,1.2,71,160,45,21,30,30,9,0,96%
Freddy Peralta,NYM,SP,165.9,184,12,0,3.78,1.2,70,137,62,22,30,30,9,0,99%
Nick Pivetta,SD,SP,169.3,183,10,0,3.91,1.16,74,145,51,26,29,29,9,0,98%
Kevin Gausman,TOR,SP,179.2,176,12,0,3.93,1.21,78,164,53,24,30,30,9,1,98%
Luis Castillo,SEA,SP,178.0,167,11,0,3.88,1.19,77,162,50,25,30,30,9,0,95%
Brandon Woodruff,MIL,SP,146.7,155,10,0,3.76,1.14,61,126,40,21,26,27,8,0,91%
Drew Rasmussen,TB,SP,155.1,140,10,0,3.64,1.17,63,140,41,18,30,30,8,0,86%
Tanner Bibee,CLE,SP,177.3,166,11,0,3.94,1.22,78,164,53,24,30,30,10,1,87%
Mason Miller,SD,RP,65.2,101,4,33,2.51,0.99,18,40,25,6,63,0,2,0,99%
Spencer Strider,ATL,SP,155.0,183,11,0,3.95,1.22,68,134,54,21,27,27,8,0,92%
Blake Snell,LAD,SP,130.4,162,10,0,3.45,1.22,50,102,57,14,23,23,6,0,94%
Ranger Suarez,BOS,SP,167.1,150,11,0,3.67,1.25,68,161,47,17,28,28,8,0,89%
Kyle Bradish,BAL,SP,142.5,153,9,0,3.6,1.19,57,123,45,16,26,27,7,0,95%
MacKenzie Gore,TEX,SP,161.2,182,10,0,3.87,1.25,69,141,61,20,29,29,9,0,88%
Matthew Boyd,CHC,SP,163.1,148,11,0,3.92,1.21,71,150,47,21,29,28,9,0,82%
Edwin Diaz,LAD,RP,65.2,90,5,37,3.04,1.06,22,47,23,7,64,0,2,0,99%
Emmet Sheehan,LAD,SP,134.5,156,9,0,3.81,1.16,57,111,45,19,34,24,6,0,86%
Michael King,SD,SP,157.6,164,10,0,3.83,1.24,67,140,56,20,28,29,8,1,88%
Tyler Glasnow,LAD,SP,130.3,152,9,0,3.64,1.18,53,105,48,16,23,23,6,0,93%
Ryan Pepiot (TB - SP) IL15,,,167.6,171,10,0,4.05,1.22,75,145,59,25,31,31,10,0,91%
Cade Smith,CLE,RP,69.3,89,5,31,2.89,1.06,22,53,21,6,70,0,3,0,99%
Shota Imanaga,CHC,SP,155.1,142,10,0,4.08,1.15,70,144,34,27,27,27,8,0,84%
Aaron Nola,PHI,SP,169.1,167,11,0,4.15,1.22,78,161,45,25,29,29,9,0,71%
Zac Gallen,ARI,SP,179.6,168,12,0,4.11,1.27,82,170,58,23,31,30,10,0,84%
Jack Flaherty,DET,SP,159.4,176,10,0,4.01,1.25,71,143,55,22,29,29,9,0,78%
Nick Lodolo,CIN,SP,152.6,155,9,0,4.03,1.19,68,141,41,21,28,28,9,1,88%
Shane McClanahan,TB,SP,127.5,136,8,0,3.62,1.17,51,110,39,16,23,23,7,0,60%
Jhoan Duran,PHI,RP,66.6,78,5,32,2.89,1.11,21,54,21,5,68,0,3,0,99%
Carlos Rodon,NYY,SP,145.4,152,10,0,3.99,1.22,64,124,53,20,26,26,8,0,74%
Eury Perez,MIA,SP,138.5,153,8,0,3.9,1.18,60,116,47,19,27,27,8,0,92%
Chase Burns,CIN,"SP,RP",117.9,141,7,0,3.62,1.16,47,101,36,15,26,21,6,1,93%
Nolan McLean,NYM,SP,150.8,146,10,0,3.82,1.28,64,134,58,16,26,26,8,0,92%
Robbie Ray,SF,SP,171.1,176,10,0,4.18,1.28,79,153,66,24,30,30,10,1,84%
Gavin Williams,CLE,SP,166.2,169,10,0,3.98,1.31,73,146,71,21,30,30,9,0,87%
Andres Munoz,SEA,RP,63.2,80,4,32,2.91,1.12,20,46,25,5,64,0,3,0,99%
Sandy Alcantara,MIA,SP,179.6,149,10,0,4.12,1.27,82,174,53,21,30,30,11,1,82%
Jose Soriano,LAA,SP,171.0,156,10,0,3.82,1.34,73,156,73,14,31,30,10,0,27%
Merrill Kelly (ARI - SP) D15,,,160.5,144,10,0,4.06,1.26,72,154,48,21,28,27,8,0,54%
Kris Bubic,KC,SP,140.9,137,9,0,3.77,1.26,59,131,47,15,30,24,7,0,60%
Edward Cabrera,CHC,SP,138.4,148,9,0,3.9,1.25,60,118,55,16,26,26,7,0,63%
Andrew Abbott,CIN,SP,167.9,153,10,0,4.2,1.26,78,159,53,26,29,29,9,1,79%
Joe Musgrove,SD,SP,140.0,133,8,0,3.93,1.2,61,131,36,19,25,25,8,0,32%
Devin Williams,NYM,RP,63.0,84,4,31,3.09,1.14,22,45,27,6,64,0,3,0,96%
Gerrit Cole,NYY,SP,123.4,125,8,0,3.85,1.17,53,108,36,17,21,21,6,1,76%
Aroldis Chapman,BOS,RP,59.8,83,4,31,3.0,1.14,20,42,26,5,62,0,3,0,98%
David Bednar,NYY,RP,63.0,76,4,33,3.25,1.12,23,49,21,7,64,0,3,0,97%
Jacob Misiorowski,MIL,SP,136.8,157,9,0,3.96,1.28,60,111,64,17,30,25,8,0,93%
Bryce Miller,SEA,SP,141.6,126,9,0,4.13,1.21,65,129,42,21,26,26,8,0,26%
Bailey Ober,MIN,SP,157.4,142,9,0,4.36,1.21,76,152,38,26,28,28,9,1,22%
Cody Ponce,TOR,"SP,RP",144.4,148,8,0,4.08,1.25,65,134,46,20,36,23,8,0,24%
David Peterson,NYM,SP,161.8,145,10,0,3.94,1.34,71,156,62,16,29,29,8,1,20%
Mitch Keller,PIT,SP,176.1,154,10,0,4.28,1.29,84,175,53,22,31,31,11,0,23%
Josh Hader (HOU - RP) IL15,,,55.0,76,4,27,3.2,1.07,20,38,21,7,54,0,3,0,91%
Shane Baz,BAL,SP,152.8,150,9,0,4.2,1.27,71,141,54,21,28,28,9,0,56%
Reynaldo Lopez,ATL,SP,132.5,134,9,0,3.96,1.27,58,121,47,16,31,23,7,0,12%
Brandon Pfaadt,ARI,SP,164.7,145,10,0,4.38,1.26,80,169,39,24,29,29,10,0,10%
Griffin Jax,TB,RP,66.1,83,4,16,3.02,1.08,22,53,19,6,67,0,3,0,72%
Brady Singer,CIN,SP,168.9,157,10,0,4.34,1.3,81,164,55,24,31,31,11,0,21%
Trey Yesavage (TOR - SP) D15,,,116.7,134,7,0,3.8,1.24,49,95,50,14,29,21,6,0,76%
Ryne Nelson,ARI,"SP,RP",156.4,129,9,0,4.19,1.26,73,154,43,21,33,27,8,0,44%
Yusei Kikuchi,LAA,SP,168.0,169,9,0,4.27,1.32,80,162,60,25,31,31,10,0,27%
Casey Mize,DET,SP,143.9,126,9,0,4.13,1.26,66,142,40,19,27,27,9,0,19%
Shane Bieber,TOR,SP,114.9,106,7,0,3.8,1.18,48,108,28,15,25,19,6,0,46%
Trevor Rogers,BAL,SP,148.8,129,9,0,4.07,1.29,67,143,48,18,27,27,8,1,83%
Reid Detmers,LAA,RP,138.0,152,8,0,4.19,1.28,64,126,51,19,32,24,8,0,18%
Sean Manaea,NYM,"SP,RP",124.1,129,7,0,4.08,1.21,56,110,39,18,36,20,6,0,17%
Raisel Iglesias,ATL,RP,64.7,69,4,27,3.62,1.14,26,56,17,8,66,0,3,0,94%
Clay Holmes,NYM,SP,153.0,125,10,0,3.95,1.35,67,148,58,14,28,27,9,0,23%
Chris Bassitt,BAL,SP,169.2,153,10,0,4.3,1.33,81,166,58,23,34,29,10,1,19%
Grant Taylor,CWS,RP,84.9,101,5,5,3.26,1.19,31,69,32,7,70,3,4,0,10%
Michael Wacha,KC,SP,166.0,129,10,0,4.32,1.29,80,165,49,22,29,29,10,0,21%
Shane Smith,CWS,SP,157.9,149,8,0,4.24,1.29,74,144,59,21,29,29,10,0,22%
Abner Uribe,MIL,RP,69.2,81,4,18,3.12,1.2,24,53,31,5,69,0,3,0,72%
Jeff Hoffman,TOR,RP,62.5,75,4,26,3.63,1.16,25,50,23,8,64,0,3,0,86%
Jack Leiter,TEX,SP,152.8,147,9,0,4.3,1.3,73,137,62,22,29,28,9,0,25%
Ryan Helsley,BAL,RP,63.0,72,4,28,3.51,1.21,25,52,23,7,62,0,3,0,84%
Cam Schlittler,NYY,SP,127.2,127,8,0,4.01,1.28,57,114,49,16,24,24,7,0,90%
Cade Horton,CHC,SP,129.6,114,8,0,4.04,1.25,58,119,43,17,24,24,7,0,67%
Joey Cantillo,CLE,"SP,RP",132.6,140,7,0,3.9,1.31,57,117,57,16,42,21,7,0,18%
