Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Aaron Judge,NYY,145.056,637.642,517.737,148.749,75.3618,24.1623,0.773545,48.4514,104.863,117.639,108.51,18.1653,159.113,5.98004,4.28731,0.520933,9.02816,8.0437,2.88506,0.287306,0.170173,0.249534,0.681965,0.413563,0.617712,0.426104,1.03128,0.330406,3.4917,0.318952,,-0.706156,133.868,58.526,179.199,-0.706156,-2.34,58.81490075588226,-9.347536325454712,7.30654,1.8600000143051147,,,,,,,1194.7,8.239310344,1194.7,8.239310344,,,,,,,,,,,,,,,,,,,Yankees,15640,592450
Cal Raleigh,SEA,148.707,618.703,534.416,125.249,58.5666,22.8006,0.491288,43.3903,86.7874,110.065,72.9614,6.83039,169.45,6.16698,4.36109,0.507363,6.35536,7.7541,2.24821,0.234366,0.117926,0.273879,0.430578,0.330758,0.522445,0.359349,0.853203,0.288079,3.51142,0.251149,,-0.233787,96.3592,23.2546,138.617,-0.233787,14.95,27.926425009965897,21.647247314453125,7.25073,18.6299991607666,,,,,,,883.5,5.929530201,883.5,5.929530201,,,,,,,,,,,,,,,,,,,Mariners,21534,663728
Shohei Ohtani,LAD,148.5,660.136,559.728,158.823,80.3817,26.4816,5.55433,46.4055,121.588,115.404,89.8987,13.4918,156.028,4.74888,3.63415,0.746666,8.53725,23.077,10.7498,0.28375,0.136182,0.236358,0.576169,0.385208,0.59963,0.409133,0.984838,0.315879,6.21521,0.311468,,-0.853232,129.495,51.4948,166.364,-0.853232,0.0,51.069619596004486,-14.018393516540527,6.03788,1.2599999904632568,,,,,,,1170.3,7.907432432,1170.3,7.907432432,,,,,,,,,,,,,,,,,,,Dodgers,19755,660271
Juan Soto,NYM,154.754,678.277,546.968,145.666,83.0002,24.8134,0.665761,37.1862,107.015,97.167,122.201,8.89887,121.073,4.1445,3.87163,1.09122,13.8129,17.3676,5.74291,0.266314,0.180165,0.178502,1.00932,0.401679,0.518072,0.392741,0.919751,0.251758,4.06114,0.276324,,-0.201596,124.026,43.8827,157.926,-0.201596,-2.99,46.365340039134026,-10.349490404129028,5.9937,4.679999828338623,,,,,,,1090.1,7.032903225,1090.1,7.032903225,,,,,,,,,,,,,,,,,,,Mets,20123,665742
Bobby Witt Jr.,KCR,151.257,659.483,598.77,170.456,100.932,36.1467,6.15074,27.2265,100.434,90.9041,47.695,4.99999,114.156,6.42045,5.73114,0.866513,6.8147,35.1761,9.80879,0.284677,0.0723218,0.173099,0.417807,0.340975,0.502002,0.357538,0.842977,0.217325,7.13801,0.309272,,2.02779,101.741,23.8181,127.822,2.02779,3.65,23.65316343307495,10.652638912200928,5.83224,3.069999933242798,,,,,,,945.9,6.26423841,945.9,6.26423841,,,,,,,,,,,,,,,,,,,Royals,25764,677951
Julio Rodríguez,SEA,151.723,660.213,598.607,165.577,103.679,28.1948,3.87755,29.8255,96.4735,91.0938,47.932,3.63866,148.208,9.25539,3.85783,0.560713,11.1693,25.4617,7.06129,0.276603,0.0726008,0.224485,0.32341,0.337699,0.486133,0.352139,0.823832,0.20953,6.1221,0.319842,,1.16266,98.9592,20.95,133.65,1.16266,0.52,27.347317337989807,2.670269250869751,5.39607,9.539999961853027,,,,,,,915.5,6.023026315,915.5,6.023026315,,,,,,,,,,,,,,,,,,,Mariners,23697,677594
Gunnar Henderson,BAL,152.419,659.777,583.07,156.777,92.5005,33.1534,3.87172,27.2517,96.8951,82.941,65.0922,3.17473,142.332,5.72113,5.35578,0.538053,11.9336,20.4935,5.17489,0.268883,0.0986579,0.215727,0.457327,0.345232,0.479238,0.353217,0.824471,0.210356,5.8683,0.309247,,0.922317,99.4716,21.5138,129.306,0.922317,-1.33,23.71153599023819,5.726435542106628,5.33523,12.4399995803833,,,,,,,905.5,5.957236842,905.5,5.957236842,,,,,,,,,,,,,,,,,,,Orioles,26289,683002
José Ramírez,CLE,150.651,648.819,576.287,159.57,93.5182,33.4292,3.16284,29.4593,94.3184,89.7208,61.2301,14.9223,74.3537,4.4998,5.89256,0.717012,6.99169,32.9164,10.3947,0.276892,0.0943716,0.114599,0.823497,0.347733,0.499234,0.354943,0.846967,0.222342,5.93646,0.271988,,1.37369,98.7288,22.0658,130.236,1.37369,0.62,24.495048880577087,1.4109320640563965,4.93528,6.230000019073486,,,,,,,935.1,6.192715231,935.1,6.192715231,,,,,,,,,,,,,,,,,,,Guardians,13510,608070
Francisco Lindor,NYM,142.366,627.632,553.291,143.403,87.6028,27.1094,1.63332,27.0577,88.0855,80.2928,53.5957,1.07565,117.351,9.59011,4.56538,0.698603,9.3805,22.2609,6.27996,0.259182,0.0853935,0.186975,0.456711,0.332649,0.460792,0.342275,0.793441,0.20161,5.51623,0.281403,,0.892069,89.0493,14.8897,123.355,0.892069,1.02,18.265603721141815,7.138544082641602,4.7356,25.65999984741211,,,,,,,808.3,5.692253521,808.3,5.692253521,,,,,,,,,,,,,,,,,,,Mets,12916,596019
Corey Seager,TEX,122.688,526.391,454.272,125.367,73.8833,23.5154,0.786902,27.1817,70.1523,82.66,58.8217,8.42096,97.3274,4.62728,4.28314,0.490227,10.2737,1.82371,0.699964,0.275974,0.111745,0.184896,0.604369,0.361714,0.51071,0.368888,0.872424,0.234736,2.64914,0.293928,,-0.772936,86.0591,23.862,140.063,-0.772936,-0.09,24.082431375980377,3.9537860453128815,4.72211,95.45999908447266,,,,,,,768.1,6.244715447,768.1,6.244715447,,,,,,,,,,,,,,,,,,,Rangers,13624,608369
