Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",11.9137,6.55865,15.2022,2.79583,29.2248,29.2248,0,0,0,173.366,693.641,134.711,58.539,53.8558,14.2962,47.4246,1.05337,7.00922,215.001,11.1614,2.46196,4.53354,0.742163,0.30996,0.0683706,0.24158982187509537,0.210747,1.05058,0.29376,0.762374,,,2.70013,5.24414,5.3891,11.640000343322754,6.04041,-1.06534,1.62666,6.04041,1.06534,2.83112,1025,5.92485549132948,951,5.497109826589595,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.106,7.10358,15.7059,2.87945,29.4762,29.4762,0,0,0,183.92,727.041,145.958,63.9598,58.843,17.325,38.9189,0.765832,6.95782,213.053,10.4256,1.90448,5.47428,0.84779,0.293042,0.0535306,0.2395111247897148,0.214278,1.00521,0.285353,0.752806,,,2.82257,5.20445,5.16418,14.359999656677246,3.2395,-0.547053,1.76505,3.2395,0.547053,2.6466,1060.9,5.765760869565218,987,5.364130434782608,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Zack Wheeler","PHI",14.0937,8.04276,17.9229,3.2796,30.0616,30.0616,0,0,0,192.092,773.564,158.179,76.0853,69.9985,21.0241,48.2877,1.0092,8.10796,205.189,9.61359,2.2624,4.2493,0.98503,0.265251,0.0624224,0.20282885432243347,0.220561,1.07483,0.279363,0.736481,,,3.33371,4.55729,4.61046,21.34000015258789,2.23921,0.660285,1.29786,2.23921,-0.660285,3.26953,993.7000000000003,5.1755208333333345,929,4.838541666666667,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",12.7565,9.88628,16.6105,3.41371,30.4105,30.4105,0,0,0,196.563,809.452,186.902,81.0396,74.5564,15.0931,44.67,1.38754,5.88206,167.964,7.69053,2.0453,3.7601,0.691065,0.207503,0.0551855,0.15231730043888092,0.24628,1.17811,0.29836,0.715316,,,3.22722,4.32141,4.27441,100.69000244140625,3.00783,0.09981,0.985337,3.00783,-0.09981,3.68622,970.1000000000001,4.924365482233503,973,4.939086294416244,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",11.1036,7.24178,11.903,3.21019,29.4153,29.4153,0,0,1.023,152.812,615.41,121.04,59.2456,54.506,15.8568,43.963,2.05529,5.66574,198.949,11.7173,2.58925,4.52537,0.933905,0.323279,0.071437,0.25184179842472076,0.213935,1.07978,0.299689,0.74058,,,2.88592,4.19159,4.03314,24.09000015258789,6.43939,-1.41759,1.11687,6.43939,1.41759,3.51084,868.8000000000001,5.67843137254902,805,5.261437908496732,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cole Ragans","KCR",11.4349,8.68053,14.7254,3.4598,29.7546,29.7546,0,0,0,178.457,739.261,147.465,74.5682,68.6027,18.1936,65.5642,2.73298,5.91868,204.719,10.3245,3.30656,3.12242,0.917545,0.276924,0.0886888,0.18823514133691788,0.22083,1.19373,0.290586,0.73823,,,3.39918,3.72598,3.65379,47.290000915527344,2.05199,1.00686,1.10149,2.05199,-1.00686,3.53135,907.5999999999999,5.098876404494382,850,4.775280898876405,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",11.7478,6.28,12.7139,3.14174,25.7888,25.7888,0,0,0,154.434,625.003,127.509,58.5979,53.9101,15.651,39.9056,0.752019,8.30221,184.629,10.7597,2.32559,4.62664,0.9121,0.295404,0.0638486,0.23155581206083298,0.221065,1.08405,0.297088,0.747864,,,3.02939,3.60418,3.95493,35.029998779296875,4.30425,0.301777,1.11113,4.30425,-0.301777,3.51849,836.0000000000002,5.42857142857143,788,5.116883116883117,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Framber Valdez","HOU",13.7109,8.36389,15.8893,3.32719,28.6865,28.6865,0,0,0,185.534,767.908,161.226,74.5537,68.5894,16.0912,57.6379,0.858204,8.69087,181.581,8.80829,2.79594,3.15038,0.780565,0.236463,0.0750584,0.16140421479940414,0.229805,1.17965,0.28802,0.735016,,,3.40907,3.58293,3.97905,63,5.17676,-0.827494,1.1486,5.17676,0.827494,3.46853,924.0000000000001,4.967741935483872,885,4.758064516129032,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Dylan Cease","SDP",12.4095,9.31435,14.2384,3.5034,30.7151,30.7151,0,0,0,182.332,749.758,145.314,77.1476,70.9758,20.5449,67.8058,1.46722,6.05112,214.254,10.5757,3.34692,3.15982,1.01411,0.285764,0.0904369,0.19532742351293564,0.214993,1.16885,0.282858,0.737549,,,3.49635,3.53991,3.70062,46.90999984741211,2.39436,-0.632508,1.14674,2.39436,0.632508,3.47102,917.5,5.041208791208791,843,4.631868131868132,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Logan Gilbert","SEA",11.8747,8.90679,16.1971,3.38932,30.7374,30.7374,0,0,0,194.103,773.486,161.218,79.4538,73.0975,24.7349,39.4903,1.77585,5.34598,199.66,9.25765,1.83105,5.05593,1.14689,0.25813,0.0510549,0.20707517117261887,0.221257,1.03403,0.270664,0.7301,,,3.45881,3.51841,3.61247,26.260000228881836,2.4083,1.48271,1.45765,2.4083,-1.48271,3.05647,977.5000000000001,5.038659793814434,913,4.706185567010309,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
