Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.1624,8.6776,21.1014,2.80133,30.78,30.78,0,0,,188.104,759.711,147.404,64.7503,58.5492,15.5709,55.1337,0.4368,7.5295,241.406,11.5502,2.63791,4.37855,0.745,0.31776,0.0725719,0.24518796056509018,0.211468,1.07673,0.299571,0.762357,0.470836,,2.67526,5.78926,5.78095,11.640000343322754,,,,,,,1105.2,5.87872340425532,1025,5.452127659574468,4.21,3.74,3.44,3.2,2.99,2.79,2.6,2.39,2.12,3.72,3.48,3.32,3.18,3.06,2.95,2.83,2.7,2.52,"Paul Skenes","33677",694973
"Jacob deGrom","TEX",11.152,6.8539,16.5023,2.88161,25.92,25.92,0,0,,152.018,602.766,116.359,52.7727,48.6728,17.2286,30.1431,0.302,4.93,205.967,12.194,1.78458,6.83297,1.02,0.341703,0.050008,0.2916947938501835,0.204968,0.963716,0.287752,0.765875,0.383545,,2.62219,5.12178,4.24303,47.43000030517578,,,,,,,921.1,6.059868421052632,846,5.565789473684211,4.34,3.82,3.49,3.22,3,2.78,2.57,2.35,2.07,3.78,3.52,3.35,3.21,3.09,2.97,2.84,2.7,2.52,"Jacob deGrom","10954",594798
"Tarik Skubal","DET",13.2874,9.4798,21.594,2.93009,32,32,0,0,,196.234,787.772,160.54,70.1382,63.887,20.0595,45.044,0.3017,7.9935,228.444,10.4773,2.06588,5.07157,0.92,0.289987,0.057179,0.23280810564756393,0.2185,1.04765,0.288916,0.763071,0.435306,,2.97792,4.98317,5.11827,14.359999656677246,,,,,,,1082.8000000000002,5.5244897959183685,1017,5.188775510204081,4.27,3.84,3.55,3.32,3.12,2.93,2.75,2.54,2.28,3.73,3.53,3.4,3.29,3.19,3.1,3,2.89,2.74,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",12.5082,8.2923,17.3919,3.0341,30.78,30.78,0,0,,170.138,684.11,133.022,62.5802,57.3574,16.6168,51.5361,0.3927,6.5394,220.465,11.6622,2.72617,4.27788,0.879,0.322266,0.0753331,0.2469329535961151,0.212484,1.08476,0.299279,0.756244,0.440866,,2.86857,4.79878,4.86867,24.09000015258789,,,,,,,966.1000000000001,5.682941176470589,892,5.247058823529412,4.49,4,3.67,3.42,3.2,2.99,2.78,2.56,2.27,3.93,3.69,3.53,3.4,3.28,3.16,3.04,2.91,2.74,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",13.4154,9.4816,20.5683,3.32701,32,32,0,0,,198.518,810.278,171.263,79.9476,73.3857,22.8737,50.9057,0.8184,8.6659,212.392,9.62897,2.30786,4.17226,1.037,0.262122,0.062825,0.19929690659046173,0.228136,1.11914,0.287888,0.747959,0.425596,,3.42484,4.61225,4.75078,21.34000015258789,,,,,,,989.1000000000003,4.970351758793971,940,4.723618090452261,4.72,4.27,3.98,3.74,3.53,3.34,3.14,2.92,2.64,4.12,3.94,3.81,3.7,3.6,3.51,3.41,3.3,3.15,"Zack Wheeler","10310",554430
"Chris Sale","ATL",13.769,7.9586,19.9615,3.07397,30.78,30.78,0,0,,186.772,754.94,152.751,69.5647,63.7924,19.4243,47.1558,0.5224,8.9808,230.056,11.0857,2.2723,4.87863,0.936,0.304734,0.062463,0.24227089434862137,0.21859,1.07033,0.296729,0.754676,0.42585,,2.95667,4.51052,4.94996,35.029998779296875,,,,,,,1044.3,5.584491978609625,980,5.240641711229946,4.47,4.01,3.7,3.46,3.25,3.05,2.85,2.64,2.36,3.91,3.7,3.56,3.43,3.33,3.22,3.11,2.99,2.83,"Chris Sale","10603",519242
"Tyler Glasnow","LAD",10.5705,6.3739,14.7674,3.21609,24.3,24.3,0,0,,143.689,579.857,116.85,55.9528,51.3461,16.1091,40.6387,0.243,3.5586,178.101,11.1555,2.54542,4.38255,1.009,0.307147,0.070084,0.2370629385113716,0.218143,1.09604,0.29504,0.752475,0.449349,,3.06771,3.689,3.45013,92.86000061035156,,,,,,,785.6000000000001,5.455555555555557,733,5.090277777777778,4.78,4.24,3.89,3.62,3.38,3.16,2.93,2.69,2.39,4.09,3.87,3.72,3.59,3.48,3.37,3.25,3.12,2.95,"Tyler Glasnow","14374",607192
"Sonny Gray","STL",12.0329,9.6682,18.4976,3.41001,30.78,30.78,0,0,,184.766,764.441,164.493,76.5116,70.0058,19.6878,51.2933,0.4319,6.8303,197.247,9.60799,2.49852,3.84548,0.959,0.258028,0.0670991,0.19092904776334763,0.232889,1.16789,0.295894,0.739944,0.447403,,3.36033,3.67968,3.83759,114.16000366210938,,,,,,,916.6,4.954594594594595,885,4.783783783783784,4.89,4.41,4.1,3.85,3.63,3.42,3.21,2.98,2.69,4.27,4.06,3.92,3.81,3.7,3.6,3.5,3.38,3.22,"Sonny Gray","12768",543243
"Cole Ragans","KCR",11.9641,9.6131,17.8251,3.5062,30.78,30.78,0,0,,182.633,763.514,156.179,77.2333,71.1496,19.3591,68.885,0.5505,6.4845,207.066,10.2041,3.3946,3.00596,0.954,0.271201,0.090221,0.18098003417253494,0.226957,1.23233,0.296327,0.746766,0.407633,,3.51496,3.64218,4.09902,47.290000915527344,,,,,,,903.9,4.939344262295082,857,4.683060109289618,4.99,4.51,4.18,3.93,3.7,3.49,3.28,3.05,2.75,4.37,4.16,4.01,3.89,3.78,3.67,3.56,3.44,3.27,"Cole Ragans","21846",666142
"Dylan Cease","SDP",12.4813,9.8963,18.4645,3.48473,32,32,0,0,,188.994,786.818,154.655,79.1176,73.1769,22.3852,70.5563,1.0111,6.4338,224.25,10.6789,3.35994,3.17832,1.066,0.285009,0.089673,0.19533603638410568,0.217877,1.19163,0.285561,0.753558,0.379245,,3.55527,3.63257,3.81944,46.90999984741211,,,,,,,942,4.984126984126984,876,4.634920634920635,4.91,4.44,4.14,3.89,3.67,3.47,3.26,3.03,2.74,4.28,4.09,3.96,3.85,3.75,3.65,3.55,3.43,3.28,"Dylan Cease","18525",656302
