Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",12.645,8.37247,12.6644,2.82979,29.225,29.225,0,0,,173.366,697.725,133.08,58.27,54.51,13.0898,49.9891,0.385044,7.42462,211.825,10.9965,2.5951,4.23743,0.679536,0.303594,0.0716459,0.23194822669029236,0.207837,1.05597,0.288858,0.757537,,,2.69787,5.47776,5.27067,11.640000343322754,,,,,,,1027.5,5.9393063583815024,949,5.485549132947977,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",13.4709,8.36678,14.3804,2.91991,29.476,29.476,0,0,,183.92,731.205,142.981,64.26,59.67,18.0397,41.4013,0.41538,6.47483,215.822,10.5611,2.02594,5.21292,0.882762,0.295159,0.0566206,0.23853803053498268,0.209241,1.00251,0.277975,0.754884,,,2.8756,5.47334,5.34315,14.359999656677246,,,,,,,1059.4,5.757608695652174,977,5.309782608695652,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",13.4735,9.35624,16.4016,3.48987,30.41,30.41,0,0,,196.563,807.149,189.513,82.04,76.22,14.2205,39.9161,0.694302,6.82965,160.175,7.33391,1.82763,4.0128,0.65111,0.198446,0.0494532,0.1489923894405365,0.249227,1.16721,0.299131,0.70346,,,3.19066,4.65433,4.16203,100.69000244140625,,,,,,,970.6000000000001,4.926903553299493,982,4.9847715736040605,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",13.7255,8.74784,15.7861,3.41977,30.062,30.062,0,0,,192.092,784.229,160.438,78.37,72.99,21.2188,51.8913,0.376457,8.17384,201.657,9.44815,2.43124,3.88615,0.994155,0.257141,0.0661686,0.19097214192152023,0.22155,1.10535,0.277724,0.73353,,,3.44096,4.61111,4.27039,21.34000015258789,,,,,,,970.5000000000002,5.054687500000001,911,4.744791666666667,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Gilbert","SEA",13.0934,9.64641,15.8268,3.52993,30.737,30.737,0,0,,194.103,782.537,166.329,81.6,76.13,24.8259,40.1116,0.577504,5.83356,202.91,9.40834,1.85986,5.05863,1.15111,0.259297,0.0512584,0.2080387882888317,0.225809,1.06356,0.278081,0.727152,,,3.44856,4.33028,3.95648,26.260000228881836,,,,,,,964.5000000000001,4.9716494845360835,913,4.706185567010309,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Garrett Crochet","BOS",10.9744,8.51328,9.34498,3.25989,29.415,29.415,0,0,,152.812,624.068,119.903,59.66,55.35,16.8187,48.5813,0.391625,5.32204,205.907,12.1271,2.86124,4.2384,0.990553,0.329943,0.0778462,0.2520969957113266,0.210295,1.10256,0.296697,0.750833,,,2.9606,4.2577,3.63242,24.09000015258789,,,,,,,861.1000000000001,5.6281045751634,794,5.189542483660131,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",11.8428,6.72632,11.705,3.30024,25.789,25.789,0,0,,154.434,634.265,128.86,61.25,56.63,15.777,43.1624,0.329761,8.57143,191.934,11.1854,2.51539,4.44678,0.919441,0.302608,0.068051,0.23455720394849777,0.221207,1.11389,0.301698,0.738804,,,3.01389,4.15192,3.59638,35.029998779296875,,,,,,,835.4000000000002,5.424675324675326,790,5.12987012987013,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",12.3012,9.07926,13.6902,3.5,29.755,29.755,0,0,,178.457,742.812,145.05,74.36,69.4,18.5373,67.7903,0.465128,6.06398,209.042,10.5425,3.41882,3.08366,0.934878,0.28142,0.0912617,0.19015847891569138,0.216829,1.19267,0.286631,0.74098,,,3.41563,4.141,3.76473,47.290000915527344,,,,,,,902.5,5.070224719101123,839,4.713483146067416,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Justin Steele","CHC",11.7854,8.61919,12.3923,3.41005,28.846,28.846,0,0,,168.2,688.222,149.878,68.88,63.73,15.967,41.5101,0.339265,5.94342,156.926,8.39673,2.22111,3.78042,0.854357,0.228016,0.060315,0.1677010878920555,0.233904,1.13786,0.286211,0.724753,,,3.38099,3.92799,3.64575,118.0999984741211,,,,,,,826.4000000000001,4.919047619047619,802,4.773809523809524,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Dylan Cease","SDP",12.1923,9.717,13.9039,3.62997,30.715,30.715,0,0,,182.332,757.464,144.845,78.69,73.54,21.6337,69.2462,0.670138,6.92459,218.018,10.7615,3.41803,3.14844,1.06785,0.287826,0.0914185,0.19640745222568512,0.212603,1.17418,0.278984,0.73666,,,3.57077,3.87726,3.48099,46.90999984741211,,,,,,,907.1999999999998,4.984615384615384,832,4.571428571428571,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
