Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,7,,2.74165,28,28,0,0,,170.7,675,136,56,52,14,34,0,5,196,10.3339,1.79262,5.76471,0.738137,0.29037,0.0503704,0.24000000581145287,0.213836,0.995899,0.286385,0.757979,,,2.62166,5.21361,5.19383,14.359999656677246,,,,,,,1012.3799774169921,5.930755685508038,946.4999847412109,5.544815475469507,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",13,9,,3.21921,32,32,0,0,,195.7,803,183,76,70,14,42,1,5,164,7.54216,1.93153,3.90476,0.643843,0.204234,0.0523039,0.15193026140332222,0.242063,1.14972,0.292388,0.725414,,,3.14093,4.39478,4.62879,100.69000244140625,,,,,,,987.1799774169922,5.044353565718638,983.4999847412109,5.025549310567043,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",13,7,,3.27832,28,28,0,0,,175.7,711,145,69,64,17,47,0,7,184,9.42516,2.40751,3.91489,0.870803,0.25879,0.0661041,0.19268635660409927,0.2207,1.09277,0.280702,0.731272,,,3.25185,4.19433,4.2793,21.34000015258789,,,,,,,920.0799774169923,5.236653348878714,863.4999847412109,4.914627203981007,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Garrett Crochet","BOS",12,6,,2.93333,29,29,0,0,,135,559,113,48,44,11,43,2,3,169,11.2667,2.86667,3.93023,0.733333,0.302326,0.0769231,0.22540249675512314,0.220273,1.15556,0.306306,0.768137,,,2.74426,3.96496,3.98974,24.09000015258789,,,,,,,769.9000000000001,5.702962962962964,732,5.4222222222222225,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Corbin Burnes","ARI",14,7,,2.97193,30,30,0,0,,181.7,735,151,65,60,16,51,0,7,179,8.86626,2.52614,3.5098,0.792515,0.243537,0.0693878,0.17414965480566025,0.223043,1.11172,0.280083,0.762806,,,3.29857,3.76694,5.23693,36.5,,,,,,,939.1799774169923,5.168849714865546,884.4999847412109,4.867914141975267,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Paul Skenes","PIT",8,6,,3.24533,30,30,0,0,,155.3,626,127,61,56,17,43,0,4,181,10.4894,2.49195,4.2093,0.98519,0.289137,0.0686901,0.22044729441404343,0.219344,1.09466,0.288714,0.745554,,,3.16648,3.70933,3.90081,11.640000343322754,,,,,,,830.920022583008,5.350418585027858,776.5000152587891,5,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Chris Sale","ATL",11,5,,2.98486,24,24,0,0,,138.7,571,118,50,46,13,36,0,8,170,11.031,2.33598,4.72222,0.843547,0.297723,0.0630473,0.23467601090669632,0.223909,1.11031,0.305233,0.765832,,,2.8853,3.68288,3.9198,35.029998779296875,,,,,,,767.6799774169922,5.534823318730588,732.4999847412109,5.28118241426172,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Aaron Nola","PHI",11,9,,3.82979,30,30,0,0,,183.3,750,169,84,78,23,40,0,5,180,8.83797,1.96399,4.5,1.1293,0.24,0.0533333,0.18666666001081467,0.239716,1.14021,0.290837,0.707014,,,3.57019,3.66528,3.13811,88.91000366210938,,,,,,,859.1200225830081,4.686961310853995,842.5000152587891,4.596290241309462,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"George Kirby","SEA",13,9,,3.32372,30,30,0,0,,173.3,705,163,69,64,19,25,0,6,162,8.41316,1.29833,6.48,0.986728,0.229787,0.035461,0.1943262368440628,0.24184,1.08482,0.292089,0.737299,,,3.25881,3.65669,3.40874,60.84000015258789,,,,,,,855.920022583008,4.938949841376394,850.5000152587891,4.907674554424437,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Dylan Cease","SDP",13,9,,3.43199,32,32,0,0,,175.7,727,141,72,67,19,66,1,5,207,10.6033,3.38076,3.13636,0.97325,0.284732,0.090784,0.19394773244857788,0.214939,1.17814,0.283721,0.748337,,,3.42829,3.57037,3.56946,46.90999984741211,,,,,,,900.8799774169921,5.127376169974402,832.4999847412109,4.738190092208421,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
