Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,15,7,23,2.54652,32,32,0,0,,202.0,800,154,63,57,19,44,,8,247,10.968,1.96709,5.57576,0.857828,0.308524,0.0553331,0.253190778195858,0.206306,0.980121,0.280238,0.792603,,,2.7127,6.08274,6.60004,6.909999847412109,,,,,,,1198.7000000000003,5.934158415841585,1101.0,5.4504950495049505,,,,,,,,,,,,,,,,,,,Tigers,22267,669373
Garrett Crochet,BOS,14,8,22,2.90421,32,32,0,0,,199.0,806,162,70,64,20,53,,8,246,11.0889,2.39337,4.63318,0.880965,0.30493,0.0658144,0.23911578208208084,0.217302,1.07697,0.296859,0.770825,,,2.86829,5.65702,5.92081,12.100000381469727,,,,,,,1114.4,5.6000000000000005,1044.0,5.2462311557788945,,,,,,,,,,,,,,,,,,,Red Sox,27463,676979
Paul Skenes,PIT,14,7,22,2.73761,32,32,0,0,,191.0,771,152,64,58,17,51,,8,230,10.8243,2.41534,4.48148,0.785268,0.2987,0.066652,0.23204751312732697,0.213998,1.06354,0.291825,0.776842,,,2.79608,5.49778,6.09531,9.65999984741211,,,,,,,1092.1000000000001,5.717801047120419,1017.0,5.324607329842932,,,,,,,,,,,,,,,,,,,Pirates,33677,694973
Cristopher Sánchez,PHI,15,8,21,3.09022,32,32,0,0,,202.0,830,177,76,70,18,53,,9,206,9.15507,2.33641,3.91844,0.780942,0.248105,0.0633172,0.18478776514530182,0.229635,1.1317,0.291535,0.749023,,,3.13543,5.08501,5.50714,25.170000076293945,,,,,,,1039.2,5.144554455445545,1002.0,4.96039603960396,,,,,,,,,,,,,,,,,,,Phillies,20778,650911
Logan Webb,SFG,13,9,20,3.25159,32,32,0,0,,205.0,846,191,81,74,17,48,,9,200,8.78043,2.10693,4.16741,0.750646,0.235732,0.0565656,0.1791662499308586,0.242085,1.16913,0.303783,0.735987,,,3.09687,4.57584,4.58811,57.72999954223633,,,,,,,1040.3000000000002,5.074634146341464,1033.0,5.0390243902439025,,,,,,,,,,,,,,,,,,,Giants,17995,657277
Framber Valdez,DET,14,8,20,3.2831,31,31,0,0,,194.0,807,170,77,71,15,65,,9,189,8.80051,3.02406,2.91017,0.718631,0.234536,0.0805919,0.15394392609596252,0.232209,1.2155,0.29293,0.740293,,,3.36272,4.12517,4.37635,81.8499984741211,,,,,,,965.1000000000001,4.974742268041238,931.0,4.798969072164948,,,,,,,,,,,,,,,,,,,Tigers,17295,664285
Max Fried,NYY,14,9,19,3.31909,31,31,0,0,,188.0,773,161,76,69,18,59,,8,181,8.67965,2.80937,3.08954,0.852892,0.233983,0.075734,0.1582489237189293,0.228296,1.17168,0.282638,0.740018,,,3.5084,3.84286,3.93316,50.09000015258789,,,,,,,912.1999999999999,4.852127659574467,867.0,4.611702127659575,,,,,,,,,,,,,,,,,,,Yankees,13743,608331
Chris Sale,ATL,12,7,18,3.01939,28,28,0,0,,162.0,665,130,59,54,18,47,,7,198,10.9726,2.61019,4.20377,1.0134,0.297581,0.0707892,0.22679197043180466,0.212604,1.09012,0.282742,0.776098,,,3.1615,3.82488,4.51444,39.209999084472656,,,,,,,873.3999999999999,5.391358024691357,810.0,5.0,,,,,,,,,,,,,,,,,,,Braves,10603,519242
Bryan Woo,SEA,14,9,21,3.14412,32,32,0,0,,197.0,798,162,75,69,24,45,,8,208,9.46244,2.03125,4.65843,1.1126,0.260177,0.0558508,0.204326294362545,0.218002,1.0485,0.268989,0.761841,,,3.43965,3.80049,4.18054,34.900001525878906,,,,,,,998.4000000000001,5.068020304568528,930.0,4.720812182741117,,,,,,,,,,,,,,,,,,,Mariners,30279,693433
Hunter Brown,HOU,12,9,19,3.35541,31,31,0,0,,182.0,754,154,74,68,19,61,,8,198,9.82433,3.01698,3.25635,0.93267,0.26319,0.0808238,0.18236654251813889,0.225696,1.18537,0.290297,0.74803,,,3.44139,3.79426,3.90256,36.400001525878906,,,,,,,901.6999999999999,4.954395604395604,852.0,4.681318681318682,,,,,,,,,,,,,,,,,,,Astros,25880,686613
Zack Wheeler,PHI,12,7,17,3.18763,26,26,0,0,,157.0,636,127,61,55,19,43,,7,185,10.6354,2.477,4.29366,1.10382,0.290798,0.0677271,0.22307046502828598,0.216081,1.08458,0.281293,0.76433,,,3.32035,3.71316,4.0567,111.97000122070312,,,,,,,817.8999999999999,5.209554140127388,758.0,4.828025477707007,,,,,,,,,,,,,,,,,,,Phillies,10310,554430
Sonny Gray,BOS,12,9,18,3.68033,31,31,0,0,,177.0,741,166,79,72,21,49,,8,188,9.55257,2.48041,3.85121,1.057,0.253255,0.06576,0.18749543279409409,0.241954,1.21232,0.304264,0.730687,,,3.4977,3.68543,3.40781,137.82000732421875,,,,,,,824.9,4.66045197740113,817.0,4.6158192090395485,,,,,,,,,,,,,,,,,,,Red Sox,12768,543243
Jesús Luzardo,PHI,13,9,18,3.48236,31,31,0,0,,178.0,737,150,75,69,22,57,,8,200,10.1193,2.88021,3.51337,1.12397,0.271241,0.0772025,0.19403868913650513,0.223025,1.16311,0.283763,0.749287,,,3.60502,3.60648,3.94718,71.11000061035156,,,,,,,861.5999999999999,4.8404494382022465,809.0,4.544943820224719,,,,,,,,,,,,,,,,,,,Phillies,19959,666200
Cole Ragans,KCR,11,8,18,3.37248,29,29,0,0,,164.0,678,135,67,61,18,59,,8,196,10.7514,3.21427,3.34491,0.99408,0.288903,0.086371,0.2025318369269371,0.220849,1.18128,0.294106,0.751968,,,3.39169,3.60269,3.76296,47.779998779296875,,,,,,,832.2,5.074390243902439,777.0,4.737804878048781,,,,,,,,,,,,,,,,,,,Royals,21846,666142
Yoshinobu Yamamoto,LAD,13,7,16,3.22123,26,26,0,0,,155.0,625,124,60,55,16,51,,7,172,10.036,2.9833,3.36405,0.918474,0.275665,0.0819444,0.19372063130140305,0.219191,1.13572,0.286378,0.750166,,,3.3597,3.59286,3.88734,26.639999389648438,,,,,,,797.8000000000001,5.147096774193549,737.0,4.754838709677419,,,,,,,,,,,,,,,,,,,Dodgers,33825,808967
Jacob deGrom,TEX,11,8,17,3.40508,29,29,0,0,,170.0,683,139,70,64,22,46,,7,185,9.78208,2.42526,4.03341,1.16247,0.270524,0.0670708,0.20345310866832733,0.221193,1.08921,0.277347,0.744158,,,3.57573,3.46296,3.47896,49.970001220703125,,,,,,,837.0000000000001,4.923529411764706,775.0,4.5588235294117645,,,,,,,,,,,,,,,,,,,Rangers,10954,594798
Logan Gilbert,SEA,12,7,19,3.05293,29,29,0,0,,164.0,665,133,61,56,20,39,,7,184,10.1017,2.14036,4.71961,1.09136,0.276781,0.0586449,0.21813634410500526,0.214847,1.04905,0.27248,0.771714,,,3.30484,3.41726,3.65211,37.11000061035156,,,,,,,851.8000000000002,5.1939024390243915,790.0,4.817073170731708,,,,,,,,,,,,,,,,,,,Mariners,22250,669302
George Kirby,SEA,12,8,19,3.21309,31,31,0,0,,172.0,706,152,67,61,20,34,,7,171,8.93491,1.77413,5.03623,1.05725,0.241559,0.0479643,0.1935950629413128,0.228046,1.08013,0.277185,0.753763,,,3.3901,3.38873,3.46167,64.55999755859375,,,,,,,850.5999999999999,4.945348837209302,819.0,4.761627906976744,,,,,,,,,,,,,,,,,,,Mariners,25436,669923
Nathan Eovaldi,TEX,11,9,17,3.65144,29,29,0,0,,174.0,719,159,77,71,20,48,,8,166,8.57123,2.49819,3.43097,1.01303,0.230431,0.067162,0.1632687747478485,0.239571,1.19079,0.29147,0.723631,,,3.65694,3.2989,2.96951,133.5399932861328,,,,,,,792.2000000000002,4.552873563218392,774.0,4.448275862068965,,,,,,,,,,,,,,,,,,,Rangers,9132,543135
Joe Ryan,MIN,10,9,17,3.6218,29,29,0,0,,168.0,689,146,74,68,25,41,,7,183,9.80213,2.19232,4.47112,1.32272,0.265524,0.0593866,0.20613756775856018,0.227474,1.11165,0.279494,0.74194,,,3.72464,3.12367,3.06255,78.80999755859375,,,,,,,778.1,4.631547619047619,737.0,4.386904761904762,,,,,,,,,,,,,,,,,,,Twins,21390,657746
Dylan Cease,TOR,12,9,18,3.55172,31,31,0,0,,172.0,722,141,74,68,21,68,,8,199,10.4383,3.54826,2.94181,1.11149,0.275994,0.0938177,0.1821763962507248,0.218156,1.21455,0.281328,0.752192,,,3.74755,3.11824,3.14351,74.2699966430664,,,,,,,817.9,4.755232558139535,757.0,4.401162790697675,,,,,,,,,,,,,,,,,,,Blue Jays,18525,656302
Drew Rasmussen,TBR,9,9,18,3.53708,31,31,0,0,,159.0,651,141,68,62,17,45,,7,148,8.39063,2.56103,3.27627,0.95512,0.227388,0.0694046,0.15798385441303253,0.235427,1.17258,0.286037,0.725904,,,3.63424,3.10501,3.10067,133.2100067138672,,,,,,,740.9000000000002,4.659748427672957,714.0,4.490566037735849,,,,,,,,,,,,,,,,,,,Rays,25385,656876
José Soriano,LAA,11,9,18,3.73468,31,31,0,0,,175.0,753,162,79,73,13,77,,9,162,8.36326,3.96575,2.10887,0.685982,0.215763,0.102312,0.11345072835683823,0.242622,1.36645,0.302304,0.724925,,,3.7404,3.08287,3.06213,324.8699951171875,,,,,,,779.8999999999999,4.4565714285714275,772.0,4.411428571428571,,,,,,,,,,,,,,,,,,,Angels,22100,667755
Ranger Suarez,BOS,11,10,15,4.05552,29,29,0,0,,170.0,717,169,84,77,19,50,,8,154,8.13561,2.66308,3.05497,1.00155,0.214262,0.0701356,0.14412634074687958,0.256586,1.29099,0.308704,0.70369,,,3.79608,2.93328,2.43554,183.5800018310547,,,,,,,718.9,4.228823529411764,737.0,4.3352941176470585,,,,,,,,,,,,,,,,,,,Red Sox,17277,624133
Kyle Bradish,BAL,10,8,16,3.51989,28,28,0,0,,145.0,607,128,62,57,16,47,,7,157,9.75936,2.91944,3.34289,1.01579,0.259266,0.0775572,0.18170837312936783,0.230509,1.20323,0.292873,0.74249,,,3.54317,2.83176,2.68552,72.91000366210938,,,,,,,695.4000000000001,4.795862068965518,669.0,4.613793103448276,,,,,,,,,,,,,,,,,,,Orioles,24586,680694
Tyler Glasnow,LAD,11,7,14,3.39209,24,24,0,0,,135.0,553,107,55,51,16,50,,6,156,10.4013,3.36665,3.0895,1.03835,0.281516,0.0911202,0.19039546698331833,0.215721,1.16895,0.281523,0.751711,,,3.58518,2.79695,3.07493,115.36000061035156,,,,,,,668.0,4.948148148148148,611.0,4.525925925925926,,,,,,,,,,,,,,,,,,,Dodgers,14374,607192
Kevin Gausman,TOR,12,10,17,3.9396,31,31,0,0,,181.0,758,165,86,79,24,57,,8,175,8.73479,2.8143,3.10372,1.20827,0.231503,0.074589,0.15691406279802322,0.238288,1.2264,0.285548,0.720595,,,4.01292,2.76561,2.43745,113.30000305175781,,,,,,,770.2,4.25524861878453,748.0,4.132596685082873,,,,,,,,,,,,,,,,,,,Blue Jays,14107,592332
Sandy Alcantara,MIA,11,10,17,4.04701,31,31,0,0,,187.0,784,180,92,84,21,60,,8,161,7.77775,2.87113,2.70895,1.0175,0.205657,0.0759175,0.12973903119564056,0.250752,1.28132,0.296896,0.703611,,,3.96987,2.7576,2.68006,145.1699981689453,,,,,,,775.5,4.147058823529412,780.0,4.171122994652406,,,,,,,,,,,,,,,,,,,Marlins,18684,645261
Nick Lodolo,CIN,10,9,15,3.78613,28,28,0,0,,150.0,635,137,69,63,21,42,,7,155,9.24315,2.53135,3.65146,1.26805,0.243241,0.0666146,0.17662622779607773,0.234234,1.19398,0.282855,0.736915,,,3.88963,2.7404,2.89452,124.63999938964844,,,,,,,658.5,4.39,640.0,4.266666666666667,,,,,,,,,,,,,,,,,,,Reds,26378,666157
Ryan Pepiot,TBR,10,9,17,3.72914,31,31,0,0,,168.0,702,143,76,70,22,59,,8,176,9.44414,3.15342,2.99489,1.2062,0.250834,0.0837541,0.1670803725719452,0.224929,1.20213,0.275692,0.738857,,,3.96884,2.72373,2.83173,123.6500015258789,,,,,,,751.8,4.475,705.0,4.196428571428571,,,,,,,,,,,,,,,,,,,Rays,26221,686752
Aaron Nola,PHI,12,10,16,4.05787,31,31,0,0,,179.0,747,167,88,81,26,51,,8,173,8.72197,2.5458,3.42602,1.30246,0.231967,0.0677076,0.1642596572637558,0.242106,1.21518,0.287757,0.713753,,,4.05902,2.69449,2.64595,207.3300018310547,,,,,,,739.6000000000001,4.131843575418995,726.0,4.055865921787709,,,,,,,,,,,,,,,,,,,Phillies,16149,605400
Tanner Bibee,CLE,10,10,17,3.85678,31,31,0,0,,181.0,759,166,85,77,23,54,,8,170,8.46336,2.67258,3.16674,1.16208,0.224016,0.0707401,0.15327543765306473,0.238836,1.21794,0.284163,0.723017,,,3.95787,2.69291,2.52948,187.92999267578125,,,,,,,778.9,4.3033149171270715,760.0,4.198895027624309,,,,,,,,,,,,,,,,,,,Guardians,30134,676440
Chase Burns,CIN,8,3,13,2.96205,27,19,0,1,,109.0,454,83,39,36,13,37,,5,143,11.8028,3.05626,3.86185,1.05383,0.316041,0.0818367,0.23420463502407074,0.202693,1.10257,0.276527,0.79168,,,3.1903,2.67328,3.10243,107.87999725341797,,,,,,,594.8999999999999,5.457798165137613,540.0,4.954128440366972,,,,,,,,,,,,,,,,,,,Reds,35333,695505
Shohei Ohtani,LAD,10,6,14,3.08289,23,23,0,0,,114.0,464,87,43,39,13,39,,5,138,10.8818,3.08787,3.52405,1.02243,0.297779,0.0844993,0.2132800817489624,0.206624,1.10186,0.274595,0.771867,,,3.35828,2.66574,2.97624,1.2599999904632568,,,,,,,601.5,5.276315789473684,545.0,4.780701754385965,,,,,,,,,,,,,,,,,,,Dodgers,19755,660271
Emmet Sheehan,LAD,11,4,15,3.43153,42,24,0,1,,145.0,600,115,60,55,20,49,,7,177,11.0483,3.07821,3.5892,1.25523,0.295532,0.0823391,0.2131926417350769,0.211278,1.1377,0.273539,0.765307,,,3.65654,2.64581,2.81513,110.31999969482422,,,,,,,718.0,4.951724137931034,655.0,4.517241379310345,,,,,,,,,,,,,,,,,,,Dodgers,29839,686218
Jack Flaherty,DET,11,9,16,3.78811,29,29,0,0,,161.0,688,145,74,68,21,56,,8,175,9.78557,3.11667,3.13975,1.18607,0.254336,0.0810051,0.17333072423934937,0.231901,1.24648,0.28858,0.740847,,,3.85353,2.62277,2.51285,210.27000427246094,,,,,,,714.1000000000001,4.435403726708075,690.0,4.285714285714286,,,,,,,,,,,,,,,,,,,Tigers,17479,656427
MacKenzie Gore,TEX,10,9,16,3.78196,29,29,0,0,,161.0,681,138,74,68,21,62,,8,180,10.0628,3.49219,2.88152,1.18092,0.264246,0.0917036,0.17254212498664856,0.22539,1.24344,0.284452,0.740247,,,3.91269,2.61828,2.44601,165.22999572753906,,,,,,,724.3000000000002,4.498757763975156,682.0,4.236024844720497,,,,,,,,,,,,,,,,,,,Rangers,22201,669022
Nick Pivetta,SDP,11,9,16,3.75568,29,29,0,0,,174.0,718,146,79,73,25,55,,8,187,9.67956,2.86007,3.38438,1.31628,0.260592,0.0769984,0.18359342217445374,0.223456,1.15901,0.273305,0.736942,,,3.97313,2.6034,2.7676,96.02999877929688,,,,,,,785.5000000000001,4.514367816091955,730.0,4.195402298850575,,,,,,,,,,,,,,,,,,,Padres,15454,601713
Blake Snell,LAD,11,6,14,3.33095,23,23,0,0,,125.0,524,96,50,46,14,56,,6,155,11.1591,4.06361,2.7461,1.00186,0.294894,0.107387,0.18750736117362976,0.207576,1.22021,0.279498,0.766629,,,3.60652,2.55612,2.94872,173.24000549316406,,,,,,,627.1999999999999,5.0176,567.0,4.536,,,,,,,,,,,,,,,,,,,Dodgers,13543,605483
