Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,14.9364,7.34838,14.9482,2.60992,29.362,29.362,0.0,0.0,,188.109,738.531,141.636,58.45,54.55,15.7322,36.9581,0.487672,7.26987,233.356,11.1648,1.76825,6.31408,0.752701,0.315974,0.0500428,0.26593127846717834,0.203997,0.949417,0.282794,0.767355,,,2.44665,6.80694,6.39166,6.909999847412109,,,,,,,1159.2,6.165957446808511,1066.0,5.670212765957447,,,,,,,,,,,,,,,,,,,Tigers,22267,669373
Paul Skenes,PIT,13.3712,8.62407,14.447,3.08996,29.889,29.889,0.0,0.0,,185.012,746.897,150.026,67.96,63.52,17.1828,47.6327,0.460892,5.10788,220.606,10.7315,2.31712,4.6314,0.835865,0.295364,0.0637741,0.23158951848745346,0.216127,1.06836,0.291089,0.747101,,,2.81292,5.80826,4.95502,9.65999984741211,,,,,,,1052.9,5.691351351351352,987.0,5.335135135135135,,,,,,,,,,,,,,,,,,,Pirates,33677,694973
Logan Webb,SFG,13.6291,9.11988,16.163,3.26007,30.186,30.186,0.0,0.0,,195.373,800.68,178.881,76.17,70.77,15.2089,47.8775,0.826892,5.66281,192.754,8.87935,2.20551,4.02598,0.700608,0.240738,0.059796,0.1809416525065899,0.239421,1.16064,0.303559,0.732912,,,2.99606,5.22181,4.73114,57.72999954223633,,,,,,,1017.1,5.215897435897436,1004.0,5.148717948717949,,,,,,,,,,,,,,,,,,,Giants,17995,657277
Cristopher Sánchez,PHI,14.4068,7.70819,15.238,3.08021,29.348,29.348,0.0,0.0,,187.877,761.499,165.33,69.35,64.3,14.0964,44.4494,0.474586,6.02344,191.662,9.18133,2.12929,4.31192,0.675269,0.251691,0.058371,0.19331999123096466,0.232523,1.11658,0.299315,0.738929,,,2.87617,5.21142,5.05706,25.170000076293945,,,,,,,1024.0,5.446808510638298,992.0,5.276595744680851,,,,,,,,,,,,,,,,,,,Phillies,20778,650911
Garrett Crochet,BOS,13.1388,8.47259,14.6182,3.26996,29.213,29.213,0.0,0.0,,183.03,738.588,151.794,71.47,66.5,21.0147,42.1604,0.529711,6.22546,217.71,10.7053,2.07312,5.16385,1.03334,0.294765,0.0570824,0.2376825474202633,0.219927,1.05969,0.28967,0.744433,,,3.04187,5.14858,4.47315,12.100000381469727,,,,,,,992.7,5.424590163934426,934.0,5.103825136612022,,,,,,,,,,,,,,,,,,,Red Sox,27463,676979
Chris Sale,ATL,10.8832,7.73632,12.4099,3.56009,25.58,25.58,0.0,0.0,,156.965,646.997,129.95,66.56,62.09,16.9735,42.1274,0.412842,12.0481,204.004,11.6971,2.41548,4.84255,0.973222,0.315309,0.0651122,0.25019680708646774,0.219207,1.09628,0.303829,0.711445,,,2.97698,4.49069,3.15161,39.209999084472656,,,,,,,860.7,5.482165605095542,810.0,5.159235668789809,,,,,,,,,,,,,,,,,,,Braves,10603,519242
Bryan Woo,SEA,13.2054,8.43939,14.7409,3.40021,29.289,29.289,0.0,0.0,,183.483,735.852,151.2,73.89,69.32,24.4158,37.0591,0.489073,7.46589,189.415,9.29096,1.81778,5.11115,1.19762,0.257409,0.0503622,0.20704641565680504,0.21871,1.02603,0.265519,0.742286,,,3.52837,4.33829,4.13224,34.900001525878906,,,,,,,912.4,4.9857923497267755,849.0,4.639344262295082,,,,,,,,,,,,,,,,,,,Mariners,30279,693433
Max Fried,NYY,13.5825,7.72125,14.4151,3.24991,28.697,28.697,0.0,0.0,,180.199,742.059,151.869,69.92,65.07,14.6364,55.6133,0.472282,9.41602,173.752,8.67801,2.7776,3.12429,0.731012,0.234149,0.0749446,0.15920395404100418,0.224316,1.15141,0.280845,0.735661,,,3.34522,4.24511,4.37896,50.09000015258789,,,,,,,905.3,5.029444444444445,858.0,4.766666666666667,,,,,,,,,,,,,,,,,,,Yankees,13743,608331
Dylan Cease,TOR,12.2699,8.26693,12.3585,3.36977,29.086,29.086,0.0,0.0,,168.955,693.675,130.309,67.64,63.26,18.5217,62.5392,0.580306,4.41417,200.036,10.6556,3.33138,3.19856,0.986626,0.288371,0.0901563,0.1982143446803093,0.207922,1.14142,0.273878,0.750119,,,3.38118,4.15346,3.84737,74.2699966430664,,,,,,,877.9000000000001,5.194674556213018,797.0,4.715976331360947,,,,,,,,,,,,,,,,,,,Blue Jays,18525,656302
Jesús Luzardo,PHI,12.1317,8.91641,13.6352,3.68018,29.343,29.343,0.0,0.0,,176.054,729.324,153.356,77.72,71.99,20.8575,51.899,0.490941,7.07476,195.103,9.97381,2.65311,3.75929,1.06625,0.267513,0.0711605,0.19635207206010818,0.22877,1.16586,0.291597,0.724406,,,3.4638,4.06196,3.2181,71.11000061035156,,,,,,,859.3000000000002,4.882386363636365,820.0,4.659090909090909,,,,,,,,,,,,,,,,,,,Phillies,19959,666200
