Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,14,5,,2.54348,32,32,0,0,,199.0,774,151,60,56,17,37,,6,244,11.0543,1.66304,6.64706,0.782609,0.315202,0.0474198,0.26778242737054825,0.206795,0.945652,0.285057,0.778364,,,2.46122,6.82219,6.81089,6.909999847412109,,,,,,,1229.9,6.180402010050252,1133.0,5.693467336683417,,,,,,,,,,,,,,,,,,,Tigers,22267,669373
Garrett Crochet,BOS,16,6,,2.78351,32,32,0,0,,199.0,809,164,67,62,19,53,,4,248,11.2317,2.39284,4.69388,0.879002,0.307076,0.0654206,0.24165553599596024,0.218391,1.09061,0.299107,0.790671,,,2.7716,5.93377,6.25696,12.100000381469727,,,,,,,1137.5,5.71608040201005,1073.0,5.391959798994975,,,,,,,,,,,,,,,,,,,Red Sox,27463,676979
Paul Skenes,PIT,13,6,,2.75459,32,32,0,0,,182.0,727,145,60,56,16,47,,5,207,10.217,2.30384,4.43478,0.801336,0.284123,0.0640669,0.2200557291507721,0.214393,1.05175,0.284116,0.780312,,,2.87359,5.07359,5.9004,9.65999984741211,,,,,,,1031.0,5.664835164835165,960.0,5.274725274725275,,,,,,,,,,,,,,,,,,,Pirates,33677,694973
Logan Webb,SFG,16,8,,3.05542,32,32,0,0,,203.0,831,186,75,69,15,43,,5,192,8.53719,1.88717,4.52381,0.673989,0.231425,0.0511571,0.18026796355843544,0.237726,1.12831,0.297012,0.741463,,,2.91547,5.07082,5.29358,57.72999954223633,,,,,,,1074.1,5.291133004926108,1060.0,5.221674876847291,,,,,,,,,,,,,,,,,,,Giants,17995,657277
Cristopher Sánchez,PHI,11,7,,3.28099,32,32,0,0,,199.0,818,181,78,73,18,47,,7,192,8.682,2.12002,4.09524,0.807628,0.234973,0.057377,0.1775956228375435,0.236842,1.14414,0.294355,0.737885,,,3.18,4.74983,5.02268,25.170000076293945,,,,,,,1002.6,5.038190954773869,983.0,4.939698492462312,,,,,,,,,,,,,,,,,,,Phillies,20778,650911
Max Fried,NYY,14,9,,3.36842,31,31,0,0,,188.0,770,162,76,70,15,54,,7,171,8.21053,2.57895,3.18367,0.736842,0.222857,0.07,0.15285714715719223,0.227907,1.1462,0.28,0.719955,,,3.33981,4.18262,4.01688,50.09000015258789,,,,,,,944.5,5.023936170212766,904.0,4.808510638297872,,,,,,,,,,,,,,,,,,,Yankees,13743,608331
Cole Ragans,KCR,10,7,,3.50847,29,29,0,0,,154.0,637,124,65,60,16,53,,4,193,11.2881,3.12712,3.60976,0.915254,0.302658,0.0838446,0.218813918530941,0.213483,1.15254,0.291228,0.721476,,,3.06734,4.02582,3.26763,47.779998779296875,,,,,,,835.4000000000002,5.424675324675326,777.0,5.045454545454546,,,,,,,,,,,,,,,,,,,Royals,21846,666142
Hunter Brown,HOU,14,7,,3.05903,31,31,0,0,,182.0,748,150,67,62,17,60,,7,193,9.55277,2.9517,3.23636,0.858676,0.258345,0.0798258,0.1785195916891098,0.219745,1.15086,0.281106,0.767878,,,3.34384,3.95141,4.68691,36.400001525878906,,,,,,,932.7,5.124725274725275,874.0,4.802197802197802,,,,,,,,,,,,,,,,,,,Astros,25880,686613
Chris Sale,ATL,12,5,,3.10345,28,28,0,0,,162.0,667,137,60,56,17,44,,10,195,10.826,2.45389,4.41176,0.938252,0.292398,0.0662768,0.22612084448337555,0.22293,1.11468,0.298701,0.769868,,,3.09504,3.84728,4.39642,39.209999084472656,,,,,,,861.5,5.317901234567901,817.0,5.04320987654321,,,,,,,,,,,,,,,,,,,Braves,10603,519242
Bryan Woo,SEA,13,10,,3.33333,32,32,0,0,,193.0,766,159,78,72,24,41,,10,197,9.16667,1.88889,4.85294,1.11111,0.257009,0.0529595,0.20404982566833496,0.221667,1.03086,0.272289,0.733813,,,3.48082,3.82093,3.62182,34.900001525878906,,,,,,,960.6,4.97720207253886,894.0,4.632124352331606,,,,,,,,,,,,,,,,,,,Mariners,30279,693433
